"Distance","Altitude","Speed"
"10.87","285.79999999999995","1.773"
"71.85","285.0","5.533"
"108.02","284.0","6.485"
"170.23","284.0","6.951"
"229.27","285.0","6.224"
"287.58","286.20000000000005","5.561"
"352.64","286.79999999999995","5.281"
"388.81","287.4","5.029"
"449.53","288.0","5.402"
"513.94","287.20000000000005","6.485"
"534.24","286.20000000000005","6.979"
"585.12","285.20000000000005","7.493"
"632.04","283.79999999999995","8.034"
"656.47","282.79999999999995","8.155"
"680.95","281.6","8.034"
"742.35","281.79999999999995","7.017"
"775.38","282.6","6.401"
"836.63","282.79999999999995","5.962"
"877.12","283.6","5.654"
"935.93","284.79999999999995","4.889"
"996.01","285.20000000000005","2.286"
"1001.45","285.4","0.914"
"1004.94","285.6","1.717"
"1028.6","285.79999999999995","0.0"
"1029.89","285.79999999999995","1.4"
"1090.02","286.20000000000005","5.328"
"1155.74","285.6","6.466"
"1176.04","284.79999999999995","6.951"
"1197.85","283.79999999999995","7.427"
"1260.53","282.79999999999995","7.968"
"1268.62","282.4","8.034"
"1309.9","281.4","8.342"
"1353.18","280.4","8.78"
"1380.01","279.20000000000005","8.92"
"1442.86","278.4","9.293"
"1452.28","278.0","9.452"
"1522.3","276.79999999999995","10.217"
"1542.16","275.20000000000005","9.592"
"1551.71","273.79999999999995","9.424"
"1593.24","272.6","6.951"
"1606.45","272.6","6.783"
"1625.36","272.6","6.102"
"1637.28","273.4","5.682"
"1642.87","273.79999999999995","5.589"
"1653.94","274.20000000000005","5.486"
"1685.53","274.20000000000005","4.908"
"1695.2","275.4","4.852"
"1700.03","275.20000000000005","4.861"
"1709.99","275.20000000000005","5.151"
"1720.27","274.79999999999995","5.402"
"1763.29","274.20000000000005","6.606"
"1776.73","273.79999999999995","6.755"
"1790.05","273.79999999999995","6.625"
"1803.05","273.6","6.476"
"1821.57","273.6","5.776"
"1837.24","274.4","4.899"
"1846.94","274.4","4.759"
"1873.71","274.79999999999995","4.488"
"1882.77","275.20000000000005","4.535"
"1891.81","275.4","4.432"
"1914.78","275.79999999999995","2.855"
"1935.73","276.4","3.518"
"1956.06","277.6","3.303"
"2001.1","278.6","4.115"
"2054.26","279.79999999999995","4.124"
"2114.9","280.6","4.115"
"2123.16","280.79999999999995","4.143"
"2187.59","281.0","4.805"
"2238.48","279.79999999999995","6.261"
"2302.98","279.20000000000005","5.561"
"2366.14","279.79999999999995","5.962"
"2395.05","280.20000000000005","5.85"
"2400.85","280.79999999999995","5.505"
"2425.73","279.6","3.312"
"2451.63","278.6","4.087"
