"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","si-4377-linux",,,,"User:","brooksch"
"Cmdline:","dstat -tcm --output dstat_siads521.csv",,,,"Date:","20 Oct 2019 14:44:21 EDT"

"system","total cpu usage",,,,,,"memory usage",,,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free"
20-10 14:44:21,3.987,0.679,95.189,0.137,0.0,0.008,9755340800.0,276357120.0,4339732480.0,2397270016.0
20-10 14:44:22,0.627,0.125,99.247,0.0,0.0,0.0,9755205632.0,276357120.0,4340129792.0,2397007872.0
20-10 14:44:23,1.508,0.251,98.241,0.0,0.0,0.0,9752694784.0,276357120.0,4340133888.0,2399514624.0
20-10 14:44:24,13.476,1.511,84.761,0.252,0.0,0.0,9762451456.0,276361216.0,4348821504.0,2381066240.0
20-10 14:44:25,1.754,1.003,97.243,0.0,0.0,0.0,9764298752.0,276361216.0,4349120512.0,2378919936.0
20-10 14:44:26,5.646,0.878,93.476,0.0,0.0,0.0,9763086336.0,276365312.0,4349120512.0,2380128256.0
20-10 14:44:27,6.203,0.506,93.291,0.0,0.0,0.0,9762512896.0,276365312.0,4350607360.0,2379214848.0
20-10 14:44:28,7.044,0.755,92.075,0.126,0.0,0.0,9758633984.0,276365312.0,4351983616.0,2381717504.0
20-10 14:44:29,6.030,2.136,91.834,0.0,0.0,0.0,9758236672.0,276729856.0,4354396160.0,2379337728.0
20-10 14:44:30,4.798,0.631,94.444,0.126,0.0,0.0,9758957568.0,276783104.0,4356841472.0,2376118272.0
20-10 14:44:31,12.911,2.152,84.684,0.253,0.0,0.0,9756221440.0,276799488.0,4357390336.0,2378289152.0
20-10 14:44:32,27.099,2.163,70.611,0.127,0.0,0.0,9757753344.0,276799488.0,4235595776.0,2498551808.0
20-10 14:44:33,28.463,5.668,65.743,0.126,0.0,0.0,9761411072.0,276799488.0,4236509184.0,2493980672.0
20-10 14:44:34,21.816,7.062,70.618,0.504,0.0,0.0,9754660864.0,277594112.0,4246392832.0,2490052608.0
20-10 14:44:35,36.822,10.467,51.576,1.009,0.0,0.126,9760702464.0,280834048.0,4264628224.0,2462535680.0
20-10 14:44:36,44.931,6.758,47.309,1.001,0.0,0.0,9777590272.0,281391104.0,4275240960.0,2434478080.0
20-10 14:44:37,38.161,2.897,58.060,0.756,0.0,0.126,9787469824.0,281952256.0,4284583936.0,2414694400.0
20-10 14:44:38,33.375,0.750,65.875,0.0,0.0,0.0,9787027456.0,281968640.0,4271804416.0,2427899904.0
20-10 14:44:39,34.128,1.380,63.990,0.502,0.0,0.0,9783635968.0,282091520.0,4277850112.0,2425122816.0
20-10 14:44:40,37.594,1.504,60.777,0.125,0.0,0.0,9783955456.0,282091520.0,4274556928.0,2428096512.0
20-10 14:44:41,34.810,1.392,63.797,0.0,0.0,0.0,9780293632.0,282206208.0,4274929664.0,2431270912.0
20-10 14:44:42,48.354,3.038,47.975,0.506,0.0,0.127,9779834880.0,283025408.0,4281335808.0,2424504320.0
20-10 14:44:43,47.914,2.023,49.937,0.0,0.0,0.126,9780133888.0,283066368.0,4279754752.0,2425745408.0
20-10 14:44:44,50.190,3.666,46.018,0.126,0.0,0.0,9779933184.0,283181056.0,4280897536.0,2424688640.0
20-10 14:44:45,42.025,1.013,56.835,0.127,0.0,0.0,9778995200.0,283197440.0,4281556992.0,2424950784.0
20-10 14:44:46,38.819,1.382,59.673,0.0,0.0,0.126,9781088256.0,283299840.0,4280836096.0,2423476224.0
20-10 14:44:47,39.975,1.513,58.260,0.126,0.0,0.126,9780719616.0,283504640.0,4284203008.0,2420273152.0
20-10 14:44:48,8.385,0.751,90.613,0.250,0.0,0.0,9788207104.0,283516928.0,4287127552.0,2409848832.0
20-10 14:44:49,15.182,1.004,83.814,0.0,0.0,0.0,9786580992.0,283525120.0,4397359104.0,2301235200.0
