"","week","treatment_id","experiment","click_sum","week_fac","prob_based","exp_factor","click_ind","country"
"1",1,2,1,78,"week  1","no_prob","1",1,"US"
"6",1,7,1,68,"week  1","rel_prob_email","1",1,"US"
"10",1,4,1,136,"week  1","prob_email","1",1,"US"
"13",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"18",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"20",1,5,1,160,"week  1","prob_email","1",1,"US"
"21",1,3,1,136,"week  1","no_prob","1",1,"US"
"25",1,1,1,52,"week  1","no_email","1",1,"US"
"30",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"43",1,3,1,0,"week  1","no_prob","1",0,"US"
"44",1,4,1,0,"week  1","prob_email","1",0,"US"
"45",1,1,1,0,"week  1","no_email","1",0,"US"
"46",1,1,1,0,"week  1","no_email","1",0,"US"
"50",1,5,1,0,"week  1","prob_email","1",0,"US"
"51",1,1,1,54,"week  1","no_email","1",1,"US"
"52",1,3,1,0,"week  1","no_prob","1",0,"US"
"55",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"57",1,3,1,0,"week  1","no_prob","1",0,"US"
"58",1,4,1,0,"week  1","prob_email","1",0,"US"
"63",1,4,1,0,"week  1","prob_email","1",0,"US"
"65",1,4,1,0,"week  1","prob_email","1",0,"US"
"70",1,3,1,136,"week  1","no_prob","1",1,"US"
"73",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"74",1,3,1,0,"week  1","no_prob","1",0,"US"
"78",1,3,1,36,"week  1","no_prob","1",1,"US"
"79",1,6,1,36,"week  1","rel_prob_email","1",1,"US"
"81",1,3,1,0,"week  1","no_prob","1",0,"US"
"86",1,4,1,44,"week  1","prob_email","1",1,"US"
"88",1,5,1,24,"week  1","prob_email","1",1,"US"
"91",1,4,1,0,"week  1","prob_email","1",0,"US"
"93",1,5,1,0,"week  1","prob_email","1",0,"US"
"95",1,5,1,197,"week  1","prob_email","1",1,"US"
"100",1,4,1,0,"week  1","prob_email","1",0,"US"
"102",1,5,1,0,"week  1","prob_email","1",0,"US"
"103",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"104",1,1,1,0,"week  1","no_email","1",0,"US"
"105",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"110",1,1,1,0,"week  1","no_email","1",0,"US"
"112",1,3,1,216,"week  1","no_prob","1",1,"US"
"113",1,1,1,0,"week  1","no_email","1",0,"US"
"114",1,4,1,32,"week  1","prob_email","1",1,"US"
"115",1,3,1,212,"week  1","no_prob","1",1,"US"
"124",1,1,1,4,"week  1","no_email","1",1,"US"
"126",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"128",1,2,1,192,"week  1","no_prob","1",1,"US"
"131",1,1,1,269,"week  1","no_email","1",1,"US"
"135",1,1,1,24,"week  1","no_email","1",1,"US"
"143",1,6,1,76,"week  1","rel_prob_email","1",1,"US"
"157",1,7,1,438,"week  1","rel_prob_email","1",1,"US"
"158",1,1,1,54,"week  1","no_email","1",1,"US"
"159",1,3,1,354,"week  1","no_prob","1",1,"US"
"161",1,3,1,0,"week  1","no_prob","1",0,"US"
"171",1,4,1,0,"week  1","prob_email","1",0,"US"
"176",1,2,1,0,"week  1","no_prob","1",0,"US"
"177",1,1,1,1168,"week  1","no_email","1",1,"US"
"179",1,4,1,96,"week  1","prob_email","1",1,"US"
"180",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"184",1,5,1,0,"week  1","prob_email","1",0,"US"
"185",1,5,1,0,"week  1","prob_email","1",0,"US"
"187",1,5,1,0,"week  1","prob_email","1",0,"US"
"194",1,3,1,0,"week  1","no_prob","1",0,"US"
"195",1,3,1,424,"week  1","no_prob","1",1,"US"
"201",1,2,1,0,"week  1","no_prob","1",0,"US"
"202",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"204",1,5,1,156,"week  1","prob_email","1",1,"US"
"209",1,3,1,0,"week  1","no_prob","1",0,"US"
"210",1,2,1,56,"week  1","no_prob","1",1,"US"
"211",1,1,1,0,"week  1","no_email","1",0,"US"
"215",1,2,1,48,"week  1","no_prob","1",1,"US"
"217",1,1,1,0,"week  1","no_email","1",0,"US"
"219",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"221",1,1,1,0,"week  1","no_email","1",0,"US"
"222",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"224",1,3,1,0,"week  1","no_prob","1",0,"US"
"226",1,1,1,0,"week  1","no_email","1",0,"US"
"229",1,6,1,157,"week  1","rel_prob_email","1",1,"US"
"239",1,1,1,0,"week  1","no_email","1",0,"US"
"240",1,1,1,279,"week  1","no_email","1",1,"US"
"245",1,7,1,40,"week  1","rel_prob_email","1",1,"US"
"253",1,1,1,0,"week  1","no_email","1",0,"US"
"255",1,1,1,154,"week  1","no_email","1",1,"US"
