Range,Households,Midpoints
"Under $5,000",4218,2500
"$5,000-$9,999",3497,7500
"$10,000-$14,999",5875,12500
"$15,000-$19,999",6091,17500
"$20,000-$24,999",6127,22500
"$25,000-$29,999",5818,27500
"$30,000-$34,999",5952,32500
"$35,000-$39,999",5644,37500
"$40,000-$44,999",5184,42500
"$45,000-$49,999",4898,47500
"$50,000-$54,999",5025,52500
"$55,000-$59,999",4067,57500
"$60,000-$64,999",4077,62500
"$65,000-$69,999",4033,67500
"$70,000-$74,999",3786,72500
"$75,000-$79,999",3711,77500
"$80,000-$84,999",3709,82500
"$85,000-$89,999",3054,87500
"$90,000-$94,999",2919,92500
"$95,000-$99,999",2581,97500
"$100,000-$104,999",2838,102500
"$105,000-$109,999",2094,107500
"$110,000-$114,999",2207,112500
"$115,000-$119,999",1896,117500
"$120,000-$124,999",1905,122500
"$125,000-$129,999",1817,127500
"$130,000-$134,999",1673,132500
"$135,000-$139,999",1438,137500
"$140,000-$144,999",1355,142500
"$145,000-$149,999",1258,147500
"$150,000-$154,999",1578,152500
"$155,000-$159,999",1031,157500
"$160,000-$164,999",1006,162500
"$165,000-$169,999",930,167500
"$170,000-$174,999",833,172500
"$175,000-$179,999",819,177500
"$180,000-$184,999",838,182500
"$185,000-$189,999",683,187500
"$190,000-$194,999",658,192500
"$195,000-$199,999",588,197500
"$200,000-$249,999",4310,225000
"$250,000 and over",5564,250000
