docid,title,text,label,category
0,MATLAB," matlab ( matrix laboratory ) be a multi - paradigm numerical computing environment and proprietary programming language develop by mathworks . matlab allow matrix manipulation , plot of function and datum , implementation of algorithm , creation of user interface , and interfac with program write in other language , include c , c++ , c # , java , fortran and python . 

 although matlab be intend primarily for numerical computing , an optional toolbox use the mupad symbolic engine , allow access to symbolic computing ability . an additional package , simulink , add graphical multi - domain simulation and model - base design for dynamic and embed system . 

 as of 2018 , matlab have more than 3 million user worldwide . matlab user come from various background of engineering , science , and economic . ",data mining,Data mining and machine learning software
1,Ray Kurzweil," raymond kurzweil ( ; bear february 12 , 1948 ) be an american inventor and futurist . He be involve in field such as optical character recognition ( ocr ) , text - to - speech synthesis , speech recognition technology , and electronic keyboard instrument . He have write book on health , artificial intelligence ( ai ) , transhumanism , the technological singularity , and futurism . kurzweil be a public advocate for the futurist and transhumanist movement , and give public talk to share his optimistic outlook on life extension technology and the future of nanotechnology , robotic , and biotechnology . 

 kurzweil receive the 1999 national medal of technology and innovation , the united states ' high honor in technology , from president clinton in a white house ceremony . He be the recipient of the $ 500,000 lemelson - mit prize for 2001 via   the internet archive ] . and in 2002 he be induct into the national inventors hall of fame , establish by the u.s. patent office . He have receive 21 honorary doctorate , and honor from three u.s. president . the public broadcasting service ( pbs ) include kurzweil as one of 16 "" revolutionary who make america "" along with other inventor of the past two century . inc. magazine rank him # 8 among the "" most fascinating "" entrepreneur in the united states and call him "" edison 's rightful heir "" . 

 kurzweil have write seven book , five of which have be national bestseller . the age of spiritual machines have be translate into 9 language and be the # 1 best - sell book on amazon in science . kurzweil 's book the singularity be near be a new york times bestseller , and have be the # 1 book on amazon in both science and philosophy . kurzweil speak widely to audience both public and private and regularly deliver keynote speech at industry conference like demo , sxsw , and ted . He maintain the news website kurzweilai.net , which have over three million reader annually . 

 kurzweil have be employ by google since 2012 , where he be a "" director of engineering "" . ",data mining,Machine learning researchers
2,Genetic algorithm," in computer science and operation research , a genetic algorithm ( ga ) be a metaheuristic inspire by    the process of natural selection that belong to the large class of evolutionary algorithm ( ea ) . genetic algorithm be commonly use to generate high - quality solution to optimization and search problem by rely on bio - inspire operator such as mutation , crossover and selection . john holland introduce genetic algorithm in 1960 base on the concept of darwin ’s theory of evolution ; afterwards , his student david e. goldberg extend ga in 1989 . ",data mining,Machine learning
3,Data mining," datum mining   be the process of discover pattern in large data set involve method at the intersection of machine learning , statistic , and database system . datum mining be an interdisciplinary subfield of computer science and statistic with an overall goal to extract information ( with intelligent method ) from a data set and transform the information into a comprehensible structure for further use . datum mining be the analysis step of the "" knowledge discovery in database "" process , or kdd . aside from the raw analysis step , it also involve database and data management aspect , datum pre - processing , model and inference consideration , interestingness metric , complexity consideration , post - processing of discover structure , visualization , and online updating . the difference between datum analysis and datum mining be that datum analysis be use to test model and hypothesis on the dataset , e.g. , analyze the effectiveness of a marketing campaign , regardless of the amount of datum ; in contrast , datum mining use machine - learning and statistical model to uncover clandestine or hide pattern in a large volume of datum . olson , d. l. ( 2007 ) . datum mining in business service . service business , 1(3 ) , 181 - 193 . doi:10.1007/s11628 - 006 - 0014 - 7 

 the term "" datum mining "" be in fact a misnomer , because the goal be the extraction of pattern and knowledge from large amount of datum , not the extraction ( mining ) of datum itself . It also be a buzzwordokairp 2005 fall conference , arizona state university   and be frequently apply to any form of large - scale datum or information processing ( collection , extraction , warehousing , analysis , and statistic ) as well as any application of computer decision support system , include artificial intelligence ( e.g. , machine learning ) and business intelligence . the book data mining : practical machine learning tool and technique with java ( which cover mostly machine learning material ) be originally to be name just practical machine learning , and the term datum mining be only add for marketing reason . often the more general term ( large scale ) data analysis and analytic – or , when refer to actual method , artificial intelligence and machine learning – be more appropriate . 

 the actual data mining task be the semi - automatic or automatic analysis of large quantity of datum to extract previously unknown , interesting pattern such as group of datum record ( cluster analysis ) , unusual record ( anomaly detection ) , and dependency ( association rule mining , sequential pattern mining ) . this usually involve use database technique such as spatial index . these pattern can then be see as a kind of summary of the input datum , and may be use in further analysis or , for example , in machine learning and predictive analytic . for example , the datum mining step may identify multiple group in the datum , which can then be use to obtain more accurate prediction result by a decision support system . neither the datum collection , datum preparation , nor result interpretation and reporting be part of the datum mining step , but do belong to the overall kdd process as additional step . 

 the related term datum dredging , datum fishing , and datum snoop refer to the use of datum mining method to sample part of a large population datum set that be ( or may be ) too small for reliable statistical inference to be make about the validity of any pattern discover . these method can , however , be use in create new hypothesis to test against the large data population . ",data mining,Data mining
4,GNU Octave," gnu octave be software feature a high - level programming language , primarily intend for numerical computation . octave help in solve linear and nonlinear problem numerically , and for perform other numerical experiment use a language that be mostly compatible with matlab . It may also be use as a batch - orient language . 
 since it be part of the gnu project , it be free software under the term of the gnu general public license . 

 octave be one of the major free alternative to matlab , other be scilab and freemat . scilab , however , put less emphasis on ( bidirectional ) syntactic compatibility with matlab than octave do . ",data mining,Data mining and machine learning software
5,Wolfram Mathematica," wolfram mathematica ( usually term mathematica ) be a modern technical computing system span most area of technical computing - include neural network , machine learning , image processing , geometry , data science , visualization , and other . the system be use in many technical , scientific , engineering , mathematical , and computing field . It be conceive by stephen wolfram and be develop by wolfram research of champaign , illinois . stephen wolfram : simple solutions ; the iconoclastic physicist 's mathematica software nail complex puzzle , businessweek , october 3 , 2005 . the wolfram language be the programming language use in mathematica . 

 _ _ toc _ _ ",data mining,Data mining and machine learning software
6,Stephen Wolfram," stephen wolfram (; bear 29 august 1959 ) be a british - american computer scientist , physicist , and businessman . He be know for his work in computer science , mathematic , and in theoretical physics . in 2012 , he be name an inaugural fellow of the american mathematical society . list of fellows of the american mathematical society , retrieve 1 september 2013 . 

 as a businessman , he be the founder and ceo of the software company wolfram research where he work as chief designer of mathematica and the wolfram alpha answer engine . His recent work have be on knowledge - base programming , expand and refine the programming language of mathematica into what be now call the wolfram language . 
 ",data mining,Machine learning researchers
7,Reinforcement learning," reinforcement learning ( rl ) be an area of machine learning concerned with how software agent ought to take action in an environment so as to maximize some notion of cumulative reward . reinforcement learning be one of three basic machine learn paradigms , alongside supervised learning and unsupervised learning . 

 It differ from supervised learning in that label input / output pair need not be present , and sub - optimal action need not be explicitly correct . instead the focus be find a balance between exploration ( of uncharted territory ) and exploitation ( of current knowledge ) . 

 the environment be typically formulate as a markov decision process ( mdp ) , as many reinforcement learn algorithm for this context utilize dynamic programming technique . dimitri p. bertsekas and john n. tsitsiklis . "" neuro - dynamic programming "" , athena scientific , 1996,dimitri p. bertsekas . "" dynamic programming and optimal control : approximate dynamic programming , vol . ii "" , athena scientific , 2012 , the main difference between the classical dynamic programming method   and reinforcement learning algorithm be that the latter do not assume knowledge of an exact mathematical model of the mdp and they target large mdp where exact method become infeasible . ",data mining,Machine learning algorithms
8,Maple (software)," maple be a symbolic and numeric computing environment , and be also a multi - paradigm programming language . 

 develop by maplesoft , maple also cover other aspect of technical computing , include visualization , data analysis , matrix computation , and connectivity . 

 a toolbox , maplesim , add functionality for multidomain physical modeling and code generation . ",data mining,Data mining and machine learning software
9,Douglas Lenat," douglas bruce lenat ( bear 1950 ) be the ceo of cycorp , inc. of austin , texas , and have be a prominent researcher in artificial intelligence ; he be award the biannual ijcai computers and thought award in 1976 for create the machine learn program , am .   He have work on ( symbolic , not statistical ) machine learning ( with his am and eurisko program ) ,   knowledge representation , "" cognitive economy "" , blackboard system , and what he dub in 1984 "" ontological engineering "" ( with his cyc program at mcc and , since 1994 , at cycorp ) .   He have also work in military simulation , and numerous project for us government , military , intelligence , and scientific organization .   in 1980 , he publish a critique of conventional random - mutation darwinism . lenat , douglas . "" the heuristics of nature : the plausible mutation of dna . "" stanford heuristic programming project , 1980 , technical report hpp-80 - 27 .   He author a series of article in the journal of artificial intelligence explore the nature of heuristic rule . 

 lenat be one of the original fellows of the aaai , and be the only individual to have serve on the scientific advisory boards of both microsoft and apple .   He be a fellow of the aaas , aaai , and cognitive science society , and an editor of the j. automated reasoning , j. learning sciences , and j. applied ontology .    He be one of the founder of   tti / vanguard in 1991 and remain a member of its advisory board still in 2017 .   He be name one of the wired 25 . ",data mining,Machine learning researchers
